Timestamp,Event,Value,Predicted_Crash
2026-08-15 14:09:09,Live Multiplier,37.58,
2026-08-15 14:09:09,Live Multiplier,37.8,
2026-08-15 14:09:09,Live Multiplier,37.8,
2026-08-15 14:09:09,Live Multiplier,38.05,
2026-08-15 14:09:09,Live Multiplier,38.05,
2026-08-15 14:09:09,Live Multiplier,38.05,
2026-08-15 14:09:09,Live Multiplier,38.38,
2026-08-15 14:09:09,Live Multiplier,38.38,
2026-08-15 14:09:09,Live Multiplier,38.38,
2026-08-15 14:09:09,Live Multiplier,38.72,
2026-08-15 14:09:09,Live Multiplier,38.72,
2026-08-15 14:09:09,Live Multiplier,38.72,
2026-08-15 14:09:09,Live Multiplier,39.05,
2026-08-15 14:09:09,Live Multiplier,39.05,
2026-08-15 14:09:09,Live Multiplier,39.05,
2026-08-15 14:09:09,Live Multiplier,39.39,
2026-08-15 14:09:09,Live Multiplier,39.39,
2026-08-15 14:09:09,Live Multiplier,39.39,
2026-08-15 14:09:09,Live Multiplier,39.74,
2026-08-15 14:09:09,Live Multiplier,39.74,
2026-08-15 14:09:09,Live Multiplier,39.74,
2026-08-15 14:09:09,Live Multiplier,40.08,
2026-08-15 14:09:09,Live Multiplier,40.08,
2026-08-15 14:09:09,Live Multiplier,40.08,
2026-08-15 14:09:09,Live Multiplier,40.43,
2026-08-15 14:09:09,Live Multiplier,40.43,
2026-08-15 14:09:09,Live Multiplier,40.43,
2026-08-15 14:09:09,Live Multiplier,40.78,
2026-08-15 14:09:09,Live Multiplier,40.78,
2026-08-15 14:09:09,Live Multiplier,40.78,
2026-08-15 14:09:09,Live Multiplier,41.14,
2026-08-15 14:09:09,Live Multiplier,41.14,
2026-08-15 14:09:10,Live Multiplier,41.14,
2026-08-15 14:09:10,Live Multiplier,41.49,
2026-08-15 14:09:10,Live Multiplier,41.49,
2026-08-15 14:09:10,Live Multiplier,41.85,
2026-08-15 14:09:10,Live Multiplier,41.85,
2026-08-15 14:09:10,Live Multiplier,42.22,
2026-08-15 14:09:10,Live Multiplier,42.22,
2026-08-15 14:09:10,Live Multiplier,42.59,
2026-08-15 14:09:10,Live Multiplier,42.59,
2026-08-15 14:09:10,Live Multiplier,42.96,
2026-08-15 14:09:10,Live Multiplier,42.96,
2026-08-15 14:09:10,Live Multiplier,43.33,
2026-08-15 14:09:10,Live Multiplier,43.33,
2026-08-15 14:09:10,Live Multiplier,43.71,
2026-08-15 14:09:10,Live Multiplier,43.71,
2026-08-15 14:09:10,Live Multiplier,44.09,
